date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:58:43	18769/18769	---MCZ	200	added ('OK')	application/json	date:Wed,%2019%20Mar%202025%2012:58:43%20GMT	https://jacobsbayaccommodations.co.za/wp-json/wp/v2/pages/534	C:/My%20Web%20Sites/Jacobsbay%20Accomodation/jacobsbayaccommodations.co.za/wp-json/wp/v2/pages/534.json	(from https://jacobsbayaccommodations.co.za/wedding-package-one/)
14:58:43	2437/2437	---M-Z	200	added ('OK')	application/json	date:Wed,%2019%20Mar%202025%2012:58:44%20GMT	https://jacobsbayaccommodations.co.za/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fjacobsbayaccommodations.co.za%2Fwedding-package-one%2F	C:/My%20Web%20Sites/Jacobsbay%20Accomodation/jacobsbayaccommodations.co.za/wp-json/oembed/1.0/embed6b79.json	(from https://jacobsbayaccommodations.co.za/wedding-package-one/)
14:58:44	2590/2590	---M-Z	200	added ('OK')	text/xml	date:Wed,%2019%20Mar%202025%2012:58:44%20GMT	https://jacobsbayaccommodations.co.za/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fjacobsbayaccommodations.co.za%2Fwedding-package-one%2F&format=xml	C:/My%20Web%20Sites/Jacobsbay%20Accomodation/jacobsbayaccommodations.co.za/wp-json/oembed/1.0/embed0ac5	(from https://jacobsbayaccommodations.co.za/wedding-package-one/)
14:58:44	11388/11388	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2012%20Feb%202025%2009:09:45%20GMT	https://jacobsbayaccommodations.co.za/wp-content/plugins/akismet/_inc/akismet-frontend.js?ver=1739351385	C:/My%20Web%20Sites/Jacobsbay%20Accomodation/jacobsbayaccommodations.co.za/wp-content/plugins/akismet/_inc/akismet-frontend36fe.js	(from https://jacobsbayaccommodations.co.za/wedding-package-one/)
14:58:44	5596/5596	---M-Z	200	added ('OK')	text/css	date:Thu,%2020%20Feb%202025%2002:45:27%20GMT	https://jacobsbayaccommodations.co.za/wp-content/uploads/elementor/css/post-550.css?ver=1740019527	C:/My%20Web%20Sites/Jacobsbay%20Accomodation/jacobsbayaccommodations.co.za/wp-content/uploads/elementor/css/post-550251f.css	(from https://jacobsbayaccommodations.co.za/wedding-package-two/)
14:58:45	18471/18471	---MCZ	200	added ('OK')	application/json	date:Wed,%2019%20Mar%202025%2012:58:45%20GMT	https://jacobsbayaccommodations.co.za/wp-json/wp/v2/pages/550	C:/My%20Web%20Sites/Jacobsbay%20Accomodation/jacobsbayaccommodations.co.za/wp-json/wp/v2/pages/550.json	(from https://jacobsbayaccommodations.co.za/wedding-package-two/)
14:58:45	2451/2451	---M-Z	200	added ('OK')	application/json	date:Wed,%2019%20Mar%202025%2012:58:45%20GMT	https://jacobsbayaccommodations.co.za/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fjacobsbayaccommodations.co.za%2Fwedding-package-two%2F	C:/My%20Web%20Sites/Jacobsbay%20Accomodation/jacobsbayaccommodations.co.za/wp-json/oembed/1.0/embed32da.json	(from https://jacobsbayaccommodations.co.za/wedding-package-two/)
14:58:45	2610/2610	---M-Z	200	added ('OK')	text/xml	date:Wed,%2019%20Mar%202025%2012:58:46%20GMT	https://jacobsbayaccommodations.co.za/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fjacobsbayaccommodations.co.za%2Fwedding-package-two%2F&format=xml	C:/My%20Web%20Sites/Jacobsbay%20Accomodation/jacobsbayaccommodations.co.za/wp-json/oembed/1.0/embedcf9f	(from https://jacobsbayaccommodations.co.za/wedding-package-two/)
14:58:46	338411/338411	---M--	200	added ('OK')	image/jpeg	date:Mon,%2025%20Nov%202024%2013:54:00%20GMT	https://jacobsbayaccommodations.co.za/wp-content/uploads/2021/06/lily-Le8ZW_udTfM-unsplash-scaled.jpg	C:/My%20Web%20Sites/Jacobsbay%20Accomodation/jacobsbayaccommodations.co.za/wp-content/uploads/2021/06/lily-Le8ZW_udTfM-unsplash-scaled.jpg	(from https://jacobsbayaccommodations.co.za/wp-content/uploads/elementor/css/post-534.css?ver=1741535851)
14:58:46	326125/326125	---M--	200	added ('OK')	image/jpeg	date:Mon,%2025%20Nov%202024%2013:54:00%20GMT	https://jacobsbayaccommodations.co.za/wp-content/uploads/2021/06/nathan-dumlao-5BB_atDT4oA-unsplash-1-scaled.jpg	C:/My%20Web%20Sites/Jacobsbay%20Accomodation/jacobsbayaccommodations.co.za/wp-content/uploads/2021/06/nathan-dumlao-5BB_atDT4oA-unsplash-1-scaled.jpg	(from https://jacobsbayaccommodations.co.za/wp-content/uploads/elementor/css/post-550.css?ver=1740019527)
